# m1 [eV]    sqrt(Delta_m21_sq)_min [eV]    sqrt(Delta_m21_sq)_max [eV]
1.28e-4 9.32619e-9 9.32619e-9
1.287470e-04 8.491224e-09 1.094734e-08
1.636896e-04 7.395549e-09 1.342147e-08
2.080800e-04 4.120801e-09 1.976687e-08
2.645481e-04 3.653862e-09 2.649713e-08
3.255467e-04 3.347584e-09 3.277561e-08
3.869206e-04 3.065020e-09 3.974748e-08
4.000000e-04 3.034397e-09 4.055805e-08
7.387505e-04 3.034397e-09 4.055805e-08
1.364381e-03 3.034397e-09 4.055805e-08
2.519842e-03 3.034397e-09 4.055805e-08
4.653836e-03 3.034397e-09 4.055805e-08
8.595059e-03 3.034397e-09 4.055805e-08
1.587401e-02 3.034397e-09 4.055805e-08
2.931733e-02 3.034398e-09 4.055805e-08
5.414548e-02 3.034403e-09 4.055805e-08
1.000000e-01 3.034466e-09 4.055803e-08
