# Counting axions with IAXO (arXiv:2606.20826) by B. Grinstein, C. Miro and P. Quilez \cite{Grinstein:2026alk}
# Quasi-degenerate g_discovery of 2 axions as a function of sqrt_dm2
# sqrt_dm2[eV]    g_disc[GeV^-1]    q0_over_g4[GeV^-4]
3.000000e-09 3.631821e-09 5.173026e+34
3.279039e-09 3.039873e-09 1.053952e+35
3.584032e-09 2.544523e-09 2.146927e+35
3.917394e-09 2.129910e-09 4.373180e+35
4.281763e-09 1.782893e-09 8.907205e+35
4.680023e-09 1.492426e-09 1.814141e+36
5.115326e-09 1.249307e-09 3.694592e+36
5.591118e-09 1.045817e-09 7.523482e+36
6.111165e-09 8.755070e-10 1.531807e+37
6.679583e-09 7.329701e-10 3.118153e+37
7.300871e-09 6.136854e-10 6.345406e+37
7.979947e-09 5.138685e-10 1.290728e+38
8.722186e-09 4.303525e-10 2.623888e+38
9.533463e-09 3.604875e-10 5.329443e+38
1.042020e-08 3.020562e-10 1.081163e+39
1.138941e-08 2.532036e-10 2.189589e+39
1.244878e-08 2.123775e-10 4.423934e+39
1.360668e-08 1.782786e-10 8.909340e+39
1.487227e-08 1.498188e-10 1.786392e+40
1.625559e-08 1.260852e-10 3.561112e+40
1.776757e-08 1.063096e-10 7.046167e+40
1.942019e-08 8.984258e-11 1.381382e+41
2.122652e-08 7.613272e-11 2.678904e+41
2.320086e-08 6.471047e-11 5.132683e+41
2.535884e-08 5.517831e-11 9.708876e+41
2.771755e-08 4.720515e-11 1.812529e+42
3.029564e-08 4.052069e-11 3.338375e+42
3.311353e-08 3.490627e-11 6.062177e+42
3.619352e-08 3.018372e-11 1.084305e+43
3.955999e-08 2.620609e-11 1.908241e+43
4.323958e-08 2.285139e-11 3.300591e+43
4.726143e-08 2.001843e-11 5.604319e+43
5.165735e-08 1.762403e-11 9.328712e+43
5.646216e-08 1.560065e-11 1.519400e+44
6.171388e-08 1.389348e-11 2.415452e+44
6.745407e-08 1.245763e-11 3.736811e+44
7.372818e-08 1.125597e-11 5.606751e+44
8.058586e-08 1.025804e-11 8.128016e+44
8.808140e-08 9.439499e-12 1.133566e+45
9.627412e-08 8.781468e-12 1.513471e+45
1.052289e-07 8.269524e-12 1.924512e+45
1.150165e-07 7.891723e-12 2.320359e+45
1.257146e-07 7.634487e-12 2.649251e+45
1.374076e-07 7.474400e-12 2.883614e+45
1.501884e-07 7.367385e-12 3.054844e+45
1.641578e-07 7.252884e-12 3.252368e+45
1.794266e-07 7.100371e-12 3.540938e+45
1.961157e-07 6.955589e-12 3.845093e+45
2.143570e-07 6.900590e-12 3.969151e+45
2.342950e-07 6.980895e-12 3.789640e+45
2.560874e-07 7.175585e-12 3.394793e+45
2.799069e-07 7.401626e-12 2.998707e+45
3.059419e-07 7.570154e-12 2.740461e+45
3.343985e-07 7.673336e-12 2.596005e+45
3.655019e-07 7.772595e-12 2.465917e+45
3.994984e-07 7.916888e-12 2.290997e+45
4.366569e-07 8.117947e-12 2.072324e+45
4.772717e-07 8.369400e-12 1.834278e+45
5.216642e-07 8.663907e-12 1.597303e+45
5.701858e-07 9.002779e-12 1.370049e+45
6.232205e-07 9.396879e-12 1.154271e+45
6.811881e-07 9.860787e-12 9.519106e+44
7.445475e-07 1.040854e-11 7.668009e+44
8.138001e-07 1.105527e-11 6.025112e+44
8.894941e-07 1.182255e-11 4.606780e+44
9.722286e-07 1.273746e-11 3.419096e+44
1.062659e-06 1.383380e-11 2.457406e+44
1.161500e-06 1.515657e-11 1.705449e+44
1.269534e-06 1.676244e-11 1.139971e+44
1.387618e-06 1.872949e-11 7.313731e+43
1.516684e-06 2.115968e-11 4.489581e+43
1.657755e-06 2.418984e-11 2.628515e+43
1.811948e-06 2.802611e-11 1.458785e+43
1.980483e-06 3.293151e-11 7.652369e+42
2.164694e-06 3.931680e-11 3.766430e+42
2.366039e-06 4.777534e-11 1.727536e+42
2.586111e-06 5.924688e-11 7.304335e+41
2.826653e-06 7.549026e-11 2.771270e+41
3.089569e-06 9.907372e-11 9.341328e+40
3.376939e-06 1.370964e-10 2.547640e+40
3.691038e-06 1.983947e-10 5.809281e+39
4.034353e-06 3.115574e-10 9.551908e+38
4.409600e-06 5.366882e-10 1.084811e+38
4.819750e-06 1.009742e-09 8.657679e+36
5.268050e-06 2.475576e-09 2.396280e+35
5.758047e-06 5.109819e-09 1.320141e+34
6.293621e-06 1.663621e-08 1.174965e+32
6.879009e-06 nan -3.911286e+29
7.518847e-06 nan -2.565714e+30
8.218198e-06 nan -4.494326e+30
8.982597e-06 nan -4.261572e+30
9.818096e-06 nan -3.936440e+30
1.073131e-05 nan -3.610003e+30
1.172946e-05 nan -3.467107e+30
1.282045e-05 nan -5.505360e+30
1.401292e-05 nan -6.499830e+30
1.531630e-05 nan -5.562810e+30
1.674092e-05 nan -3.283443e+30
1.829804e-05 nan -3.424640e+30
2.000000e-05 nan -5.102448e+30
