# sqrt(Delta_m21^2) [eV]    g_CAST [GeV^-1]    g_IAXO [GeV^-1]    g_IAXOplus [GeV^-1]
5.214008e-02 8.222503e-11 5.411111e-12 3.363373e-12
5.462277e-02 8.225796e-11 5.411665e-12 3.363647e-12
5.722368e-02 8.228702e-11 5.412104e-12 3.363883e-12
5.994843e-02 8.231272e-11 5.412491e-12 3.364079e-12
6.280291e-02 8.233488e-11 5.412801e-12 3.364232e-12
6.579332e-02 8.235383e-11 5.413052e-12 3.364367e-12
6.892612e-02 8.236971e-11 5.413272e-12 3.364483e-12
7.220809e-02 8.238278e-11 5.413462e-12 3.364577e-12
7.564633e-02 8.239316e-11 5.413612e-12 3.364652e-12
7.924829e-02 8.240205e-11 5.413734e-12 3.364712e-12
8.302176e-02 8.240933e-11 5.413828e-12 3.364763e-12
8.697490e-02 8.241534e-11 5.413909e-12 3.364813e-12
9.111628e-02 8.242033e-11 5.413990e-12 3.364843e-12
9.545485e-02 8.242470e-11 5.414042e-12 3.364879e-12
1.000000e-01 8.242804e-11 5.414097e-12 3.364899e-12
1.000000e4 8.242804e-11 5.414097e-12 3.364899e-12
