# Counting axions with IAXO \cite{} by B. Grinstein, C. Miró and P. Quílez 
# sqrt(Delta_m21^2) [eV]    g_CAST [GeV^-1]    g_IAXO [GeV^-1]
1.000000000000000021e-22 5.660354365844777491e-11 3.828615312811584172e-12
1.000000000000000021e-08 5.660354365844777491e-11 3.828615312811584172e-12
1.000691083300460858e-08 5.660354637566862669e-11 3.828615496421985150e-12
1.001382644197049953e-08 5.660354910036839320e-11 3.828615680537795906e-12
1.002074683019825937e-08 5.660355183256757302e-11 3.828615865160400997e-12
1.002767200099075577e-08 5.660355457228670995e-11 3.828616050291187406e-12
1.003460195765313941e-08 5.660355731954639303e-11 3.828616235931548576e-12
1.004153670349284565e-08 5.660356007436728239e-11 3.828616422082878760e-12
1.004847624181959616e-08 5.660356283677007694e-11 3.828616608746578670e-12
1.005542057594539566e-08 5.660356560677554019e-11 3.828616795924051445e-12
1.006236970918454179e-08 5.660356838440448738e-11 3.828616983616703452e-12
1.006932364485362349e-08 5.660357116967779834e-11 3.828617171825946716e-12
1.007628238627151768e-08 5.660357396261641110e-11 3.828617360553194875e-12
1.008324593675939754e-08 5.660357676324130244e-11 3.828617549799868030e-12
1.009021429964073247e-08 5.660357957157353960e-11 3.828617739567387090e-12
1.009718747824128487e-08 5.660358238763420277e-11 3.828617929857178618e-12
1.010416547588912162e-08 5.660358521144446907e-11 3.828618120670674025e-12
1.011114829591460257e-08 5.660358804302554147e-11 3.828618312009306336e-12
1.011813594165041359e-08 5.660359088239870693e-11 3.828618503874514232e-12
1.012512841643148055e-08 5.660359372958530414e-11 3.828618696267738008e-12
1.013212572359509838e-08 5.660359658460671054e-11 3.828618889190425231e-12
1.013912786648084501e-08 5.660359944748437467e-11 3.828619082644025082e-12
1.014613484843060789e-08 5.660360231823980968e-11 3.828619276629991591e-12
1.015314667278858227e-08 5.660360519689458690e-11 3.828619471149781207e-12
1.016016334290127787e-08 5.660360808347032288e-11 3.828619666204856039e-12
1.016718486211751059e-08 5.660361097798870527e-11 3.828619861796681423e-12
1.017421123378841903e-08 5.660361388047146693e-11 3.828620057926727544e-12
1.018124246126745296e-08 5.660361679094042476e-11 3.828620254596467010e-12
1.018827854791037825e-08 5.660361970941741504e-11 3.828620451807377274e-12
1.019531949707528348e-08 5.660362263592437744e-11 3.828620649560940638e-12
1.020236531212257501e-08 5.660362557048327748e-11 3.828620847858641827e-12
1.020941599641498357e-08 5.660362851311615823e-11 3.828621046701971220e-12
1.021647155331756590e-08 5.660363146384511447e-11 3.828621246092420811e-12
1.022353198619769653e-08 5.660363442269230557e-11 3.828621446031489865e-12
1.023059729842508594e-08 5.660363738967995557e-11 3.828621646520678456e-12
1.023766749337176732e-08 5.660364036483033372e-11 3.828621847561493925e-12
1.024474257441210818e-08 5.660364334816578035e-11 3.828622049155445232e-12
1.025182254492280537e-08 5.660364633970868750e-11 3.828622251304046180e-12
1.025890740828289002e-08 5.660364933948153768e-11 3.828622454008814616e-12
1.026599716787372926e-08 5.660365234750681340e-11 3.828622657271274036e-12
1.027309182707902448e-08 5.660365536380712642e-11 3.828622861092948748e-12
1.028019138928482133e-08 5.660365838840510789e-11 3.828623065475369520e-12
1.028729585787949809e-08 5.660366142132347296e-11 3.828623270420071968e-12
1.029440523625377895e-08 5.660366446258496263e-11 3.828623475928594939e-12
1.030151952780073064e-08 5.660366751221242130e-11 3.828623682002479703e-12
1.030863873591576580e-08 5.660367057022874509e-11 3.828623888643273992e-12
1.031576286399664129e-08 5.660367363665686885e-11 3.828624095852529577e-12
1.032289191544346482e-08 5.660367671151981795e-11 3.828624303631801462e-12
1.033002589365869000e-08 5.660367979484065003e-11 3.828624511982648688e-12
1.033716480204712621e-08 5.660368288664251970e-11 3.828624720906635951e-12
1.034430864401593371e-08 5.660368598694862678e-11 3.828624930405331986e-12
1.035145742297464843e-08 5.660368909578222281e-11 3.828625140480307952e-12
1.035861114233509755e-08 5.660369221316664333e-11 3.828625351133140662e-12
